,best_precision,best_recall,balanced
pima,1.097429577019e-311,1.0974294548003e-311,1.097429465779e-311
yeast4,1.097429577019e-311,1.0974294548003e-311,1.097429465779e-311
yeast5,1.097429577019e-311,1.0974294548003e-311,1.097429465779e-311
winequality-white-3-9_vs_5,1.097429577019e-311,1.0974294548003e-311,1.097429465779e-311
