,best_precision,best_recall,balanced
pima,1.0974295367e-311,1.097429454696e-311,1.0974294657315e-311
yeast4,1.0974295367e-311,1.097429454696e-311,1.0974294657315e-311
yeast5,1.0974295367e-311,1.097429454696e-311,1.0974294657315e-311
winequality-white-3-9_vs_5,1.0974295367e-311,1.097429454696e-311,1.0974294657315e-311
