,best_precision,best_recall,balanced
pima,1.0974004479805e-311,1.0974294558596e-311,1.1124598565147e-311
yeast4,1.0974004479805e-311,1.0974294558596e-311,1.1124598565147e-311
yeast5,1.0974004479805e-311,1.0974294558596e-311,1.1124598565147e-311
winequality-white-3-9_vs_5,1.0974004479805e-311,1.0974294558596e-311,1.1124598565147e-311
