,best_precision,best_recall,balanced
pima,1.0974295749887e-311,1.09742941543e-311,1.097429465646e-311
yeast4,1.0974295749887e-311,1.09742941543e-311,1.097429465646e-311
yeast5,1.0974295749887e-311,1.09742941543e-311,1.097429465646e-311
winequality-white-3-9_vs_5,1.0974295749887e-311,1.09742941543e-311,1.097429465646e-311
